area_type,availability,location,society,total_sqft,bath,balcony,price,bhk
Super built-up  Area,19-Dec,Electronic City Phase II,Coomee ,1056.0,2.0,1.0,39.07,2
Plot  Area,Ready To Move,Chikka Tirupathi,Theanmp,2600.0,5.0,3.0,120.0,4
Super built-up  Area,Ready To Move,Lingadheeranahalli,Soiewre,1521.0,3.0,1.0,95.0,3
Super built-up  Area,Ready To Move,Whitefield,DuenaTa,1170.0,2.0,1.0,38.0,2
Plot  Area,Ready To Move,Whitefield,Prrry M,2785.0,5.0,3.0,295.0,4
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Shncyes,1000.0,2.0,1.0,38.0,2
Plot  Area,Ready To Move,Sarjapur,Skityer,2250.0,3.0,2.0,148.0,3
Super built-up  Area,Ready To Move,Mysore Road,PrntaEn,1175.0,2.0,2.0,73.5,2
Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,1180.0,3.0,2.0,48.0,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1540.0,3.0,3.0,60.0,3
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,PeBayle,2770.0,4.0,2.0,290.0,3
Super built-up  Area,19-Dec,Binny Pete,She 2rk,1755.0,3.0,1.0,122.0,3
Plot  Area,Ready To Move,Thanisandra,Soitya ,2800.0,5.0,2.0,380.0,4
Super built-up  Area,18-Nov, Thanisandra,Bhe 2ko,510.0,1.0,0.0,25.25,1
Super built-up  Area,Ready To Move,Electronic City,Itelaa ,660.0,1.0,1.0,23.1,2
Super built-up  Area,17-Oct,Ramagondanahalli,ViistLa,1151.0,2.0,2.0,48.77,2
Super built-up  Area,Ready To Move,Electronic City,KBityo ,1025.0,2.0,1.0,47.0,3
Super built-up  Area,19-Dec,Yelahanka,LedorSa,2475.0,4.0,0.0,186.0,4
Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,1075.0,2.0,1.0,35.0,3
Super built-up  Area,Ready To Move,Hebbal,Mahosya,1760.0,2.0,2.0,123.0,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1693.0,3.0,3.0,57.39,3
